Country Name,Country Code,Series Name,Series Code,2016 [YR2016]
Afghanistan,AFG,"Inflation, consumer prices (annual %)",FP.CPI.TOTL.ZG,4.38389195513915
Albania,ALB,"Inflation, consumer prices (annual %)",FP.CPI.TOTL.ZG,1.27543168367423
Algeria,DZA,"Inflation, consumer prices (annual %)",FP.CPI.TOTL.ZG,6.39769480268757
American Samoa,ASM,"Inflation, consumer prices (annual %)",FP.CPI.TOTL.ZG,..
Andorra,AND,"Inflation, consumer prices (annual %)",FP.CPI.TOTL.ZG,..
Angola,AGO,"Inflation, consumer prices (annual %)",FP.CPI.TOTL.ZG,30.6944150806719
Antigua and Barbuda,ATG,"Inflation, consumer prices (annual %)",FP.CPI.TOTL.ZG,-0.489437796230499
Argentina,ARG,"Inflation, consumer prices (annual %)",FP.CPI.TOTL.ZG,..
Armenia,ARM,"Inflation, consumer prices (annual %)",FP.CPI.TOTL.ZG,-1.403607559009
Aruba,ABW,"Inflation, consumer prices (annual %)",FP.CPI.TOTL.ZG,-0.931195987079561
Australia,AUS,"Inflation, consumer prices (annual %)",FP.CPI.TOTL.ZG,1.27699094497324
Austria,AUT,"Inflation, consumer prices (annual %)",FP.CPI.TOTL.ZG,0.891591752655362
Azerbaijan,AZE,"Inflation, consumer prices (annual %)",FP.CPI.TOTL.ZG,12.4433748584372
"Bahamas, The",BHS,"Inflation, consumer prices (annual %)",FP.CPI.TOTL.ZG,-0.346376929989397
Bahrain,BHR,"Inflation, consumer prices (annual %)",FP.CPI.TOTL.ZG,2.78679347602044
Bangladesh,BGD,"Inflation, consumer prices (annual %)",FP.CPI.TOTL.ZG,5.51352572692995
Barbados,BRB,"Inflation, consumer prices (annual %)",FP.CPI.TOTL.ZG,1.28192813061895
Belarus,BLR,"Inflation, consumer prices (annual %)",FP.CPI.TOTL.ZG,11.8365807653496
Belgium,BEL,"Inflation, consumer prices (annual %)",FP.CPI.TOTL.ZG,1.97385264653181
Belize,BLZ,"Inflation, consumer prices (annual %)",FP.CPI.TOTL.ZG,0.663427167917601
Benin,BEN,"Inflation, consumer prices (annual %)",FP.CPI.TOTL.ZG,-0.793310145785624
Bermuda,BMU,"Inflation, consumer prices (annual %)",FP.CPI.TOTL.ZG,..
Bhutan,BTN,"Inflation, consumer prices (annual %)",FP.CPI.TOTL.ZG,3.21988689395718
Bolivia,BOL,"Inflation, consumer prices (annual %)",FP.CPI.TOTL.ZG,3.62321431764138
Bosnia and Herzegovina,BIH,"Inflation, consumer prices (annual %)",FP.CPI.TOTL.ZG,-1.58410000000002
Botswana,BWA,"Inflation, consumer prices (annual %)",FP.CPI.TOTL.ZG,2.81495791361944
Brazil,BRA,"Inflation, consumer prices (annual %)",FP.CPI.TOTL.ZG,8.73914352329393
British Virgin Islands,VGB,"Inflation, consumer prices (annual %)",FP.CPI.TOTL.ZG,..
Brunei Darussalam,BRN,"Inflation, consumer prices (annual %)",FP.CPI.TOTL.ZG,-0.278693265753083
Bulgaria,BGR,"Inflation, consumer prices (annual %)",FP.CPI.TOTL.ZG,-0.79864988645371
Burkina Faso,BFA,"Inflation, consumer prices (annual %)",FP.CPI.TOTL.ZG,0.441041448058809
Burundi,BDI,"Inflation, consumer prices (annual %)",FP.CPI.TOTL.ZG,5.55768961400965
Cabo Verde,CPV,"Inflation, consumer prices (annual %)",FP.CPI.TOTL.ZG,-1.40781637091706
Cambodia,KHM,"Inflation, consumer prices (annual %)",FP.CPI.TOTL.ZG,3.01913975139128
Cameroon,CMR,"Inflation, consumer prices (annual %)",FP.CPI.TOTL.ZG,0.874190383288856
Canada,CAN,"Inflation, consumer prices (annual %)",FP.CPI.TOTL.ZG,1.42875954701085
Cayman Islands,CYM,"Inflation, consumer prices (annual %)",FP.CPI.TOTL.ZG,-0.62525835861814
Central African Republic,CAF,"Inflation, consumer prices (annual %)",FP.CPI.TOTL.ZG,4.94543276106518
Chad,TCD,"Inflation, consumer prices (annual %)",FP.CPI.TOTL.ZG,-0.792440525236102
Channel Islands,CHI,"Inflation, consumer prices (annual %)",FP.CPI.TOTL.ZG,..
Chile,CHL,"Inflation, consumer prices (annual %)",FP.CPI.TOTL.ZG,3.78619355893118
China,CHN,"Inflation, consumer prices (annual %)",FP.CPI.TOTL.ZG,2.00000182191943
Colombia,COL,"Inflation, consumer prices (annual %)",FP.CPI.TOTL.ZG,7.51346024627675
Comoros,COM,"Inflation, consumer prices (annual %)",FP.CPI.TOTL.ZG,0.797517430888487
"Congo, Dem. Rep.",COD,"Inflation, consumer prices (annual %)",FP.CPI.TOTL.ZG,2.88585107289988
"Congo, Rep.",COG,"Inflation, consumer prices (annual %)",FP.CPI.TOTL.ZG,3.19056179723773
Costa Rica,CRI,"Inflation, consumer prices (annual %)",FP.CPI.TOTL.ZG,-0.0174788505908217
Cote d'Ivoire,CIV,"Inflation, consumer prices (annual %)",FP.CPI.TOTL.ZG,0.723178457513308
Croatia,HRV,"Inflation, consumer prices (annual %)",FP.CPI.TOTL.ZG,-1.12500000000002
Cuba,CUB,"Inflation, consumer prices (annual %)",FP.CPI.TOTL.ZG,..
Curacao,CUW,"Inflation, consumer prices (annual %)",FP.CPI.TOTL.ZG,-0.0472079848940293
Cyprus,CYP,"Inflation, consumer prices (annual %)",FP.CPI.TOTL.ZG,-1.42916666666665
Czechia,CZE,"Inflation, consumer prices (annual %)",FP.CPI.TOTL.ZG,0.683504209385703
Denmark,DNK,"Inflation, consumer prices (annual %)",FP.CPI.TOTL.ZG,0.250000000000031
Djibouti,DJI,"Inflation, consumer prices (annual %)",FP.CPI.TOTL.ZG,2.73841208738755
Dominica,DMA,"Inflation, consumer prices (annual %)",FP.CPI.TOTL.ZG,0.141816225732312
Dominican Republic,DOM,"Inflation, consumer prices (annual %)",FP.CPI.TOTL.ZG,1.61416607245223
Ecuador,ECU,"Inflation, consumer prices (annual %)",FP.CPI.TOTL.ZG,1.72826463324533
"Egypt, Arab Rep.",EGY,"Inflation, consumer prices (annual %)",FP.CPI.TOTL.ZG,13.813606214829
El Salvador,SLV,"Inflation, consumer prices (annual %)",FP.CPI.TOTL.ZG,0.60404908699661
Equatorial Guinea,GNQ,"Inflation, consumer prices (annual %)",FP.CPI.TOTL.ZG,1.41193915479015
Eritrea,ERI,"Inflation, consumer prices (annual %)",FP.CPI.TOTL.ZG,..
Estonia,EST,"Inflation, consumer prices (annual %)",FP.CPI.TOTL.ZG,0.148684907627373
Eswatini,SWZ,"Inflation, consumer prices (annual %)",FP.CPI.TOTL.ZG,7.8472745908568
Ethiopia,ETH,"Inflation, consumer prices (annual %)",FP.CPI.TOTL.ZG,6.62813337230924
Faroe Islands,FRO,"Inflation, consumer prices (annual %)",FP.CPI.TOTL.ZG,..
Fiji,FJI,"Inflation, consumer prices (annual %)",FP.CPI.TOTL.ZG,3.86322538221269
Finland,FIN,"Inflation, consumer prices (annual %)",FP.CPI.TOTL.ZG,0.356684500891695
France,FRA,"Inflation, consumer prices (annual %)",FP.CPI.TOTL.ZG,0.18333486112386
French Polynesia,PYF,"Inflation, consumer prices (annual %)",FP.CPI.TOTL.ZG,..
Gabon,GAB,"Inflation, consumer prices (annual %)",FP.CPI.TOTL.ZG,2.10670712784054
"Gambia, The",GMB,"Inflation, consumer prices (annual %)",FP.CPI.TOTL.ZG,7.22879272057922
Georgia,GEO,"Inflation, consumer prices (annual %)",FP.CPI.TOTL.ZG,2.13492713939121
Germany,DEU,"Inflation, consumer prices (annual %)",FP.CPI.TOTL.ZG,0.491747008445174
Ghana,GHA,"Inflation, consumer prices (annual %)",FP.CPI.TOTL.ZG,17.4546347070868
Gibraltar,GIB,"Inflation, consumer prices (annual %)",FP.CPI.TOTL.ZG,..
Greece,GRC,"Inflation, consumer prices (annual %)",FP.CPI.TOTL.ZG,-0.825653978390973
Greenland,GRL,"Inflation, consumer prices (annual %)",FP.CPI.TOTL.ZG,..
Grenada,GRD,"Inflation, consumer prices (annual %)",FP.CPI.TOTL.ZG,1.65038994431573
Guam,GUM,"Inflation, consumer prices (annual %)",FP.CPI.TOTL.ZG,..
Guatemala,GTM,"Inflation, consumer prices (annual %)",FP.CPI.TOTL.ZG,4.44844199942827
Guinea,GIN,"Inflation, consumer prices (annual %)",FP.CPI.TOTL.ZG,8.17268112275132
Guinea-Bissau,GNB,"Inflation, consumer prices (annual %)",FP.CPI.TOTL.ZG,1.50312055861088
Guyana,GUY,"Inflation, consumer prices (annual %)",FP.CPI.TOTL.ZG,0.836008061506207
Haiti,HTI,"Inflation, consumer prices (annual %)",FP.CPI.TOTL.ZG,11.5029073942666
Honduras,HND,"Inflation, consumer prices (annual %)",FP.CPI.TOTL.ZG,2.72461223295289
"Hong Kong SAR, China",HKG,"Inflation, consumer prices (annual %)",FP.CPI.TOTL.ZG,2.40930743862224
Hungary,HUN,"Inflation, consumer prices (annual %)",FP.CPI.TOTL.ZG,0.394769306686392
Iceland,ISL,"Inflation, consumer prices (annual %)",FP.CPI.TOTL.ZG,1.69692761997751
India,IND,"Inflation, consumer prices (annual %)",FP.CPI.TOTL.ZG,4.94821634062141
Indonesia,IDN,"Inflation, consumer prices (annual %)",FP.CPI.TOTL.ZG,3.52580452815451
"Iran, Islamic Rep.",IRN,"Inflation, consumer prices (annual %)",FP.CPI.TOTL.ZG,7.24542548952979
Iraq,IRQ,"Inflation, consumer prices (annual %)",FP.CPI.TOTL.ZG,0.556521397155511
Ireland,IRL,"Inflation, consumer prices (annual %)",FP.CPI.TOTL.ZG,0.0201247735963237
Isle of Man,IMN,"Inflation, consumer prices (annual %)",FP.CPI.TOTL.ZG,..
Israel,ISR,"Inflation, consumer prices (annual %)",FP.CPI.TOTL.ZG,-0.535168195718695
Italy,ITA,"Inflation, consumer prices (annual %)",FP.CPI.TOTL.ZG,-0.09401665691575
Jamaica,JAM,"Inflation, consumer prices (annual %)",FP.CPI.TOTL.ZG,2.35102197485846
Japan,JPN,"Inflation, consumer prices (annual %)",FP.CPI.TOTL.ZG,-0.127258844489754
Jordan,JOR,"Inflation, consumer prices (annual %)",FP.CPI.TOTL.ZG,-0.778430463054142
Kazakhstan,KAZ,"Inflation, consumer prices (annual %)",FP.CPI.TOTL.ZG,14.3610942386248
Kenya,KEN,"Inflation, consumer prices (annual %)",FP.CPI.TOTL.ZG,6.29724953814625
Kiribati,KIR,"Inflation, consumer prices (annual %)",FP.CPI.TOTL.ZG,1.91731090233378
"Korea, Dem. People's Rep.",PRK,"Inflation, consumer prices (annual %)",FP.CPI.TOTL.ZG,..
"Korea, Rep.",KOR,"Inflation, consumer prices (annual %)",FP.CPI.TOTL.ZG,0.971685739912168
Kosovo,XKX,"Inflation, consumer prices (annual %)",FP.CPI.TOTL.ZG,0.273169431045468
Kuwait,KWT,"Inflation, consumer prices (annual %)",FP.CPI.TOTL.ZG,3.19839776658374
Kyrgyz Republic,KGZ,"Inflation, consumer prices (annual %)",FP.CPI.TOTL.ZG,0.388838296895799
Lao PDR,LAO,"Inflation, consumer prices (annual %)",FP.CPI.TOTL.ZG,1.59691227583204
Latvia,LVA,"Inflation, consumer prices (annual %)",FP.CPI.TOTL.ZG,0.140633334505327
Lebanon,LBN,"Inflation, consumer prices (annual %)",FP.CPI.TOTL.ZG,-0.783359624361508
Lesotho,LSO,"Inflation, consumer prices (annual %)",FP.CPI.TOTL.ZG,6.59650490696543
Liberia,LBR,"Inflation, consumer prices (annual %)",FP.CPI.TOTL.ZG,8.83424868336488
Libya,LBY,"Inflation, consumer prices (annual %)",FP.CPI.TOTL.ZG,25.8538742124461
Liechtenstein,LIE,"Inflation, consumer prices (annual %)",FP.CPI.TOTL.ZG,..
Lithuania,LTU,"Inflation, consumer prices (annual %)",FP.CPI.TOTL.ZG,0.905525075460342
Luxembourg,LUX,"Inflation, consumer prices (annual %)",FP.CPI.TOTL.ZG,0.290833333333317
"Macao SAR, China",MAC,"Inflation, consumer prices (annual %)",FP.CPI.TOTL.ZG,2.36895749705898
Madagascar,MDG,"Inflation, consumer prices (annual %)",FP.CPI.TOTL.ZG,6.03575858154679
Malawi,MWI,"Inflation, consumer prices (annual %)",FP.CPI.TOTL.ZG,21.7111132136499
Malaysia,MYS,"Inflation, consumer prices (annual %)",FP.CPI.TOTL.ZG,2.09056659525742
